Std Nbr	taxi_driver_ID
8455004	135
8412637	8
8413186	213
8410392	255
8410367	24
8410112	243
8455685	50
8413125	94
8412509	74
8412406	70
8410306	127
8455569	353
8455272	249
8410835	96
8455107	14
8412613	252
8411943	78
8455508	45
8441340	264
8410379	153
8457177	352
8409845	359
8411074	157
8411220	290
8410859	275
8410598	104
8441431	2
8413149	316
8410355	12
8410744	67
8455259	229
8457189	190
8441443	11
8455363	84
8410586	185
8412571	124
8410100	310
8455375	112
8410331	360
8413174	137
8410409	102
8410203	51
8413150	92
8409602	288
8410525	58
8455181	254
8411530	366
8410963	291
8455429	13
8455016	280
8441376	172
8411827	109
8409687	162
8410434	150
